invoice_number,invoice_date,payment_due_date,invoice_type_code,payment_means_type_code,transaction_type,currency_code,tax_category_code,seller_name,seller_trn,seller_address,seller_city,seller_subdivision,seller_country_code,seller_legal_registration,seller_registration_identifier_type,buyer_name,buyer_trn,buyer_address,buyer_city,buyer_subdivision,buyer_country_code,buyer_legal_registration,buyer_registration_identifier_type,line_id,item_name,unit_of_measure,quantity,unit_price,line_net_amount,tax_category,tax_rate,tax_amount,total_without_tax,total_with_tax,amount_due
INV-2026-B-001,2026-04-05,2026-04-22,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 1,100121843059,"Suite 1, Business Center",Dubai,DU,AE,L-500001,DED,1,Enterprise ERP License,EA,8,1200.0,9600.0,S,0.05,480.0,9600.0,10080.0,10080.0
INV-2026-B-002,2026-04-02,2026-04-26,380,42,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 2,,"Suite 2, Business Center",Ajman,AJ,AE,,,1,Network Infrastructure Gear,EA,7,500.0,3500.0,E,0.0,0.0,3500.0,3500.0,3500.0
INV-2026-B-003,2026-04-05,2026-04-17,380,10,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 3,,"Suite 3, Business Center",Ajman,AJ,AE,,,1,Data Analytics Workshop,EA,3,100.0,300.0,E,0.0,0.0,300.0,300.0,300.0
INV-2026-B-004,2026-04-03,2026-04-30,380,10,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 4,,"Suite 4, Business Center",Dubai,DU,AE,,,1,Compliance Audit Fees,EA,10,1200.0,12000.0,Z,0.0,0.0,12000.0,12000.0,12000.0
INV-2026-B-005,2026-04-06,2026-04-28,380,42,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 5,,"Suite 5, Business Center",Dubai,DU,AE,,,1,Compliance Audit Fees,EA,7,100.0,700.0,E,0.0,0.0,700.0,700.0,700.0
INV-2026-B-006,2026-04-05,2026-04-27,380,30,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 6,,"Suite 6, Business Center",Dubai,DU,AE,,,1,Enterprise ERP License,EA,9,100.0,900.0,Z,0.0,0.0,900.0,900.0,900.0
INV-2026-B-007,2026-04-02,2026-04-19,380,42,B2C,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 7,,"Suite 7, Business Center",Dubai,DU,AE,,,1,Network Infrastructure Gear,EA,6,1200.0,7200.0,S,0.05,360.0,7200.0,7560.0,7560.0
INV-2026-B-008,2026-04-05,2026-04-27,380,42,B2C,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 8,,"Suite 8, Business Center",Ras Al Khaimah,RK,AE,,,1,Managed Security Services,EA,8,1200.0,9600.0,S,0.05,480.0,9600.0,10080.0,10080.0
INV-2026-B-009,2026-04-05,2026-04-24,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 9,100878893909,"Suite 9, Business Center",Fujairah,FU,AE,L-500009,DED,1,Network Infrastructure Gear,EA,1,2500.0,2500.0,Z,0.0,0.0,2500.0,2500.0,2500.0
INV-2026-B-010,2026-04-01,2026-04-27,380,42,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 10,,"Suite 10, Business Center",Abu Dhabi,AZ,AE,,,1,Enterprise ERP License,EA,3,500.0,1500.0,Z,0.0,0.0,1500.0,1500.0,1500.0
